published,review_title,product_title,review_content,review_score,date,product_id
False,Wow,Gift Box,"I stumbled upon Sasquatch Soap Co., when my husband requested that I find and buy him some ""man soap"". Seeing the gift idea, I went ahead and ordered it-we were both blown away when it arrived. The cigar box was completely sturdy, and the soap selection was awesome. He loves it, and has requested that once he uses this soap that I order him some more. Its strong enough that it lasts all day, but not over powering in any way. And, as a perk, we live in Utah's high mountains at 7000 feet elevation, where the air is extremely dry...he has not needed lotion to hydrate his skin since he began using the soap.",5,2013-03-26 04:00:00+00:00,110663055
True,Pine Tar review,Pine Tar,Is most definately a manly man soap. I didnt buy too many of the Pine Tar. I like but not a favorite when I did a customer test on which ones they would buy. All around love this product and concept and will enjoy selling it to the target male market.,4,2013-04-07 04:00:00+00:00,109191256
True,Pine Tar,Gold Moss Scrub,One of the best soaps I have ever tried! I really like the sent and the rich lather. My skin feels really clean without any oiliness or stickiness afterwards. I just wish the bars would last a little longer. ,4,2013-04-09 04:00:00+00:00,109191402
True,Pine Tar Soap,Pine Tar,I absolutely love the scent of this soap! ,4,2013-04-15 04:00:00+00:00,109191256
True,Sasquatch pine tar soap,Pine Tar,Great soap!  Very masculine smell and a great lather.  I will order more and highly recommend this product,5,2013-04-20 04:00:00+00:00,109191256
True,Better than expected,Gift Box,I order the gift box set for a closing-night gift for my son who was in Sasquatch: The Muscial! He loved it and my husband is hooked on the soap now too! Will order again I'm sure!! ,5,2013-04-20 04:00:00+00:00,110663055
True,Disapeers way to soon &,Cool Water,Disapeers way to soon & makes skin even dryer the before ,1,2013-04-24 04:00:00+00:00,109191092
True,Bring It On!,Gold Moss Scrub,"Great soap. Lather and feel. Will be back for more. 
Wish there were a MG HEAVY Duty - as robust as Pine Tar!! Even then I'ld keep going back for more of this MG... I keep these two in the shower at all times. ",5,2013-04-25 04:00:00+00:00,109191402
True,I Love the Smell of Pine Tar in the Morning,Pine Tar,Until I tried pine Tar soap i really didn't care much about soap at all.  Now i'm spoiled. This and the moss soap are a great way to start the day! ,5,2013-04-25 04:00:00+00:00,109191256
True,not used yet.,Gold Moss Scrub,i ordered this soap with a couple of others to give the squatch a try. so for this particular soap i can't say much other than the scent. the scent is by far my favorite of the soaps i ordered.  if you ask why i haven't used it yet. a simple case of save the best for last.,4,2013-05-10 04:00:00+00:00,109191402
True,Good Stuff,Pine Tar,"First time Squatch buyer here but I was happy with Pine Tar. I love the smell, it gets me clean, and what I love most is it's natural. I wish more things in life were as uncomplicated as Sasquatch's soap! Great job guys! You've got a customer for life! ",4,2013-05-12 04:00:00+00:00,109191256
True,Great Gift,Gift Box,"My boyfriend loved this. He has been using Sasquatch soap for awhile but I wanted to get him more but a little more special. The box was really cool. Two of the soaps he has tried before and two of them he hadn't. I don't think he would have ever tried them if i hadn't bought him the gift box. I love this soap because the smell is still on him all day and it has cleared up a lot of his skin problems, to any guy or gal considering this gift box, do it.",5,2013-05-17 04:00:00+00:00,110663055
True,Great stuff.,Spearmint Basil Scrub,"I place a bar of this on my bathroom sink for hand washing purposes. It has a very pleasant minty scent, so the ladies don't complain about it leaving their hands smelling too ""manly"" when they use it ;)",4,2013-05-17 04:00:00+00:00,109191130
True,not perfect,Cool Water,while i enjoy the scent it's just not very noticeable. it'll stay in hair for a few hours but other than that the scent doesn't linger much at all.  also seems to disappear just a little to quick. though it does lather fairly well.(much better than mass produced soaps at a store),4,2013-05-20 04:00:00+00:00,109191092
True,Great springtime scent.,Cool Fresh Aloe,"I like this one a lot. It's definitely both cool and fresh. The scent also mingles well with the scent of the cedar soap saver, if you're using one of those. Highly recommended.  ",4,2013-05-22 04:00:00+00:00,109191428
True,Best Soap Ever,Gift Box,"I've been buying natural soap for a while and Sasquatch is my new favorite.  The smells are great and the lather is perfect.  I got the Cool Fresh Aloe, Eucalyptus Greek Yogurt, Bay Rum.  Excellent soap.  Will be using this for a long time.",5,2013-05-25 04:00:00+00:00,110663055
True,Bespoke Post,Gold Moss Scrub,"Received your Gold Moss Scrub with the latest Bespoke Post box this month. Man, this is some great stuff. The scent wakes me up before the start of my day. I'm bookmarking your site and looking forward to trying other soaps. I'm eyeing the pine bar.",5,2013-05-25 04:00:00+00:00,109191402
False,Great Father's Day Gift,Gift Box,"I bought this for my dad for Father's day as he is a fan of bar soap.  It came with Bay Rum, Pine Tar, Eucalyptus Greek Yogurt, and Spearmint Basil Scrub. I am LOVING the cigar box which hold the soaps.  Great detail and quality. I know my 50-something dad will love it too.  Thanks Sasquatch!!",5,2013-05-31 04:00:00+00:00,110663055
